"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projekte\BRAUEREI\brauerei-hmi\README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 3, 9
"d:\Projekte\BRAUEREI\brauerei-hmi\package-lock.json", "JSON", 30758, 0, 0, 0, 0, 0, 0, 1, 30759
"d:\Projekte\BRAUEREI\brauerei-hmi\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Projekte\BRAUEREI\brauerei-hmi\public\favicon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projekte\BRAUEREI\brauerei-hmi\public\index.html", "HTML", 0, 0, 26, 0, 0, 0, 23, 2, 51
"d:\Projekte\BRAUEREI\brauerei-hmi\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projekte\BRAUEREI\brauerei-hmi\src\App.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\Projekte\BRAUEREI\brauerei-hmi\src\BrauereiAPI\Brauerei.js", "JavaScript", 0, 0, 0, 216, 0, 0, 27, 36, 279
"d:\Projekte\BRAUEREI\brauerei-hmi\src\BrauereiAPI\Rezepte\RezeptSchema.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 22
"d:\Projekte\BRAUEREI\brauerei-hmi\src\BrauereiAPI\Rezepte\Rezepte.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\Projekte\BRAUEREI\brauerei-hmi\src\BrauereiController.js", "JavaScript", 0, 0, 0, 7, 0, 0, 3, 3, 13
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Box_Debugging.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 4, 13, 59
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\MainView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 2, 41
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Navigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 0, 4, 83
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\Graph.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 1, 8, 51
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\HeizstabCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 2, 3, 33
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\RuehrerCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 2, 3, 33
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\StatusBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 2, 3, 57
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\StepStatusCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 3, 6, 63
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\StepsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 4, 52
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Brauen\TemperatureSensorCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 7, 65
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Heizen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 70, 5, 15, 90
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Heizstab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 4, 14, 83
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Hysterese.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 2, 10, 79
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Rührwerk.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 5, 14, 125
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Temperatur.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 3, 38
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Box_Verbindung.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 3, 5, 51
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Manuell\Dialog_SetHystereseDelta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 8, 68
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\Page-Rezepte\LoadingBanner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 3, 24
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\SidebarData.js", "JavaScript", 0, 0, 0, 27, 0, 0, 5, 3, 35
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Components\TempDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 5, 53
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Pages\brauen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 3, 6, 65
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Pages\einstellungen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 4, 46
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Pages\manuell.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 8, 41
"d:\Projekte\BRAUEREI\brauerei-hmi\src\Pages\rezepte.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 6, 32
"d:\Projekte\BRAUEREI\brauerei-hmi\src\consts.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projekte\BRAUEREI\brauerei-hmi\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 3, 18
"d:\Projekte\BRAUEREI\brauerei-hmi\src\webpack.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 1, 1, 5
"Total", "-", 30843, 6, 26, 316, 1, 1142, 98, 216, 32648
